,tag
719,#2_MK1_OGR_Krivulja_Y2
720,#2_MK1_OGR_Kr_POZIC
721,#2_MK1_OGR_Kr_VELIK
722,#2_MK1_OGR_Kr_VELIK_za_KVAD
723,#2_ZAGON_ORO
724,#2_MK2_OGR_Krivulja_X1
725,#2_MK2_OGR_Krivulja_X2
726,#2_MK2_OGR_Krivulja_Y1
727,#2_MK2_OGR_Krivulja_Y2
728,#2_MK2_OGR_Kr_VELIK_za_KVAD
729,#2_MK2_OGR_Kr_POZIC
730,#2_MK2_OGR_Kr_VELIK
731,#2_DK3_OGR_Krivulja_X1
732,#2_DK3_OGR_Krivulja_X2
733,#2_DK3_OGR_Krivulja_Y1
734,#2_DK3_OGR_Krivulja_Y2
735,#2_DK3_OGR_Kr_VELIK_za_KVAD
736,#2_DK3_OGR_Kr_POZIC
737,#2_DK3_OGR_Kr_VELIK
738,#2_Tocka_X1_20st_HL_MK1
739,#2_Tocka_X2_30st_HL_MK1
740,#2_Tocka_X1_20st_HL_MK2
741,#2_Tocka_X2_30st_HL_MK2
742,#2_Tocka_X1_20st_HL_DK3
743,#2_Tocka_X2_30st_HL_DK3
