,tag
173,#ECO_CAS
174,#MK1_Tocka1_HL
175,#MK1_TockaX1_HL
176,#MK1_Tocka2_HL
177,#MK1_TockaX2_HL
178,#MK2_Tocka1_HL
179,#MK2_TockaX1_HL
180,#MK2_Tocka2_HL
181,#MK2_TockaX2_HL
182,#DK3_Tocka1_HL
183,#DK3_TockaX1_HL
184,#DK3_Tocka2_HL
185,#DK3_TockaX2_HL
186,#SV_Vklop
187,#SV_Aktiviranje_EL_GRELEC
188,#SV_LEGIONELA_Vklop
189,#Zagon_ORO
190,#TEST_CO
191,#TEST_C1
192,#TEST_C2
193,#TEST_C3
194,#TEST_MK1_O
195,#TEST_MK1_Z
196,#TEST_MK2_O
197,#SERVIS
198,#SOLAR_Vklop
199,#SV_Rezim_24_timer
200,#OSN_Izhod_13
201,#URE_DELOVANJA_PRIKAZ_LETO
202,#URE_DELOVANJA_PRIKAZ_MESEC
203,#GESLO
204,#VSTAVI_GESLO_EH
205,#NOVO_GESLO_EH
206,#Vklop_el_grelci_za_SV
207,#PV_El_Grelci
208,#MK1_IME
209,#MK1_Vklop
210,#MK1_OGR_Kr_Nast_X1
211,#MK2_OGR_Kr_Nast_X1
212,#DK3_OGR_Kr_Nast_X1
213,#MK1_OGR_Kr_Nast_X2
214,#MK2_OGR_Kr_Nast_X2
215,#DK3_OGR_Kr_Nast_X2
216,#MK1_OGR_Kr_Nast_Y1
217,#MK2_OGR_Kr_Nast_Y1
218,#DK3_OGR_Kr_Nast_Y1
219,#MK1_OGR_Kr_Nast_Y2
220,#MK2_OGR_Kr_Nast_Y2
221,#DK3_OGR_Kr_Nast_Y2
222,#MK1_Vklop(3)
223,#MK1_Instalacija
224,#MK1_Povisanje
225,#MK1_OGR_Krivulja_X1
226,#DK3_OGR_Krivulja_X1
227,#MK2_OGR_Krivulja_X1
228,#MK1_OGR_Krivulja_Y1
229,#MK2_OGR_Krivulja_Y1
230,#DK3_OGR_Krivulja_Y1
231,#MK1_OGR_Krivulja_Y2
232,#MK2_OGR_Krivulja_Y2
233,#DK3_OGR_Krivulja_Y2
234,#MK1_OGR_Krivulja_X2
235,#MK2_OGR_Krivulja_X2
236,#DK3_OGR_Krivulja_X2
237,#MK1_IME(2)
238,#MK1_IME(3)
239,#MK1_Instalacija(2)
240,#MK1_Instalacija(3)
241,#MK1_Povisanje(2)
242,#MK1_Vklop(2)
243,#MK1_Kontakt_RF1
244,#MK2_Kontakt_RF2
245,#DK3_Kontakt_RF3
246,#SV_Diferenca
247,#SV_Povisanje
248,#SV_Legionela_URA
249,#SV_Legionela_DAN
250,#SV_Legionela_CIKEL
251,#SV_Kalib_BF1
252,#OSN_Kalib_AF
253,#SV_Kalib_BF2
254,#OSN_Shema
255,#OSN_Zakasn_VKLOPA_TC
256,#PV_Pogoj_maska_NIZJA_temp
257,#Pogoj_maska_El_Gr_za_SV
258,#PV_Pogoj_maska_VISJA_temp
259,#Pogoj_maska_El_Gr_za_SV_NE
260,#OSN_Zakasn_IZKLOPA_TC
261,#OSN_Cas_mirovanja_TC
262,#OSN_Zascita_DEF_VKLOP_CAS
263,#Cas_osvezevanja_RF1
264,#Cas_osvezevanja_RF3
265,#Cas_osvezevanja_RF2
266,#OSN_Zascita_DEF_CAS
267,#EH_Casovno_CAS
268,#PV_Cas_za_vklop
269,#PV_Cas_za_izklop
270,#OSN_Zakasn_IZKLOPA_C0
271,#LEGIONELA_max_cas
272,#OSN_Krivulja_TC
273,#OSN_Zascita_DEF_VKLOP_TEMP
274,#OSN_Zascita_DEF_TEMP
275,#OSN_MAX_Moc_pri_OGR_PROST
276,#PV_MAX_Moc_TC
277,#OSN_Limita_moci_pri_OGR_PROST
278,#OSN_Limita_moci_pri_SV
279,#OSN_Limita_moci_pri_HLAJ
280,#OSN_Vklop_Izklop
281,#OSN_Shema_ZALOG
282,#OSN_MAX_Moc_pri_HLAJ_PROSTOROV
283,#OSN_MAX_Moc_pri_OGR_SV
284,#OSN_MAX_Moc_TISJE
285,#2_Temp_za_preklop_zima_MK2
286,#2_Temp_za_preklop_zima_MK1
287,#2_SOLAR_Prost_SV
288,#2_Delovanje_MENI
289,#2_IME_MK1
290,#2_IME_MK2
291,#2_VISJA_Temp_ZALOG_OGR
292,#2_VISJA_Temp_ZALOG_HL
293,#2_NIZJA_Temp_ZALOG_HL
294,#2_NIZJA_Temp_ZALOG_OGR
295,#2_Diferenca_vklopa_ZALOG
296,#2_MK2_vklop
297,#2_TIMER_2_Ponedeljek_1
298,#2_TIMER_2_Petek_3
299,#2_TIMER_2_Petek_2
300,#2_TIMER_2_Petek_1
301,#2_TIMER_2_Nedelja_3
302,#2_TIMER_2_Nedelja_2
303,#2_TIMER_2_Nedelja_1
304,#2_TIMER_2_Minute_ON_3
305,#2_TIMER_2_Minute_ON_2
306,#2_TIMER_2_Minute_ON_1
307,#2_TIMER_2_Minute_OFF_3
308,#2_TIMER_2_Minute_OFF_2
309,#2_TIMER_2_Minute_OFF_1
310,#2_TIMER_2_Cetrtek_3
311,#2_TIMER_2_Cetrtek_2
312,#2_TIMER_2_Cetrtek_1
313,#2_TIMER_1_Ura_ON_3
314,#2_TIMER_1_Ura_ON_2
315,#2_TIMER_1_Ura_ON_1
316,#2_TIMER_1_Ura_OFF_3
317,#2_TIMER_1_Ura_OFF_2
318,#2_TIMER_1_Ura_OFF_1
319,#2_TIMER_1_Torek_3
320,#2_TIMER_1_Torek_2
321,#2_TIMER_1_Torek_1
322,#2_TIMER_1_Sreda_3
323,#2_TIMER_1_Sreda_2
324,#2_TIMER_1_Sreda_1
325,#2_TIMER_1_Sobota_3
326,#2_TIMER_1_Sobota_2
327,#2_TIMER_1_Sobota_1
328,#2_TIMER_1_Ponedeljek_3
329,#2_TIMER_1_Ponedeljek_2
330,#2_TIMER_1_Ponedeljek_1
331,#2_TIMER_1_Petek_3
332,#2_TIMER_1_Petek_2
333,#2_TIMER_1_Petek_1
334,#2_TIMER_1_Nedelja_3
335,#2_TIMER_1_Nedelja_2
336,#2_TIMER_1_Nedelja_1
337,#2_TIMER_1_Minute_ON_3
338,#2_TIMER_1_Minute_ON_2
339,#2_TIMER_1_Minute_ON_1
340,#2_TIMER_1_Minute_OFF_3
341,#2_TIMER_1_Minute_OFF_2
342,#2_TIMER_1_Minute_OFF_1
343,#2_TIMER_1_Cetrtek_3
344,#2_TIMER_1_Cetrtek_2
345,#2_TIMER_1_Cetrtek_1
346,#2_Izbira_TIMERJA_MK1
347,#2_Izbira_TIMERJA_MK2
348,#2_Izbira_TIMERJA_SV
349,#2_Izbira_TIMERJA_ZALOG
